,Suburb,Suburb Latitude,Suburb Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Melbourne,-37.8142176,144.9631608,Tipo 00,-37.81352651659617,144.96197769842925,Italian Restaurant
1,Melbourne,-37.8142176,144.9631608,Royal St. Collins,-37.815363,144.964899,Dessert Shop
2,Melbourne,-37.8142176,144.9631608,Trattoria Emilia,-37.81522,144.962636,Italian Restaurant
3,Melbourne,-37.8142176,144.9631608,Kirk's Wine Bar,-37.81366122201294,144.96135085146574,Wine Bar
4,Melbourne,-37.8142176,144.9631608,Brother Baba Budan,-37.81344531526534,144.9621371027108,Coffee Shop
5,Melbourne,-37.8142176,144.9631608,Beneath Driver Lane,-37.81301,144.96317,Cocktail Bar
6,Melbourne,-37.8142176,144.9631608,B'cos Brazil,-37.815486437832455,144.9630846580838,Brazilian Restaurant
7,Melbourne,-37.8142176,144.9631608,Calia,-37.812723955464676,144.96393013297285,Japanese Restaurant
8,Melbourne,-37.8142176,144.9631608,La Belle Miette,-37.81397866796212,144.96142940769838,Dessert Shop
9,Melbourne,-37.8142176,144.9631608,Vigorous Thai,-37.814552348616715,144.96232584750453,Massage Studio
10,Melbourne,-37.8142176,144.9631608,Whitehart,-37.81278061076497,144.96197284896698,Bar
11,Melbourne,-37.8142176,144.9631608,Chuckle Park,-37.815074697202064,144.96390786330923,Bar
12,Melbourne,-37.8142176,144.9631608,Hopetoun Tea Rooms,-37.8158956539559,144.96463355559032,Tea Room
13,Melbourne,-37.8142176,144.9631608,Chokolait.,-37.81489078471131,144.9640528166333,Chocolate Shop
14,Melbourne,-37.8142176,144.9631608,Critical Hit,-37.81581947333471,144.9621541330356,Toy / Game Store
15,Melbourne,-37.8142176,144.9631608,Nosh,-37.81539569577019,144.96299852585878,Asian Restaurant
16,Melbourne,-37.8142176,144.9631608,+39 Pizzeria & Degustation Bar,-37.81352877524485,144.9618675721726,Pizza Place
17,Melbourne,-37.8142176,144.9631608,Mind Games,-37.81407896628645,144.96595639637627,Toy / Game Store
18,Melbourne,-37.8142176,144.9631608,Osteria Ilaria,-37.81361,144.96191,Italian Restaurant
19,Melbourne,-37.8142176,144.9631608,RMIT Capitol Theatre,-37.81492836142969,144.9653971632941,Movie Theater
20,Melbourne,-37.8142176,144.9631608,Oriental Tea House,-37.81589511155167,144.9620595619567,Dim Sum Restaurant
21,Melbourne,-37.8142176,144.9631608,The Butterfly Club,-37.81578578816305,144.96537848116034,Theater
22,Melbourne,-37.8142176,144.9631608,Breathe Yoga & Pilates,-37.814904504773935,144.96493596671385,Yoga Studio
23,Melbourne,-37.8142176,144.9631608,Blok M Express,-37.813665078072404,144.96140417211825,Indonesian Restaurant
24,Melbourne,-37.8142176,144.9631608,Manchester Press,-37.81374034440173,144.96213239807437,Café
25,Melbourne,-37.8142176,144.9631608,Outre Gallery,-37.81263249987799,144.96252731938003,Art Gallery
